08-0-0-1 ΡΟΥΘ
08-1-1-1 ΚΑΙ
08-1-1-2 ἐγένετο
08-1-1-3 ἐν
08-1-1-4 ταῖς
08-1-1-5 ἡμέραις
08-1-1-6 ἐν
08-1-1-7 τῷ
08-1-1-8 κρίνειν
08-1-1-9 τοὺς
08-1-1-10 κριτὰς
08-1-1-11 καὶ
08-1-1-12 ἐγένετο
08-1-1-13 λιμὸς
08-1-1-14 ἐν
08-1-1-15 τῇ
08-1-1-16 γῇ·
08-1-1-17 καὶ
08-1-1-18 ἐπορεύθη
08-1-1-19 ἀνὴρ
08-1-1-20 ἀπὸ
08-1-1-21 Βηθλέεμ
08-1-1-22 τῆς
08-1-1-23 Ἰούδα
08-1-1-24 τοῦ
08-1-1-25 παροικῆσαι
08-1-1-26 ἐν
08-1-1-27 ἀγρῷ
08-1-1-28 Μωάβ,
08-1-1-29 αὐτὸς
08-1-1-30 καὶ
08-1-1-31 ἡ
08-1-1-32 γυνὴ
08-1-1-33 αὐτοῦ
08-1-1-34 καὶ
08-1-1-35 οἱ
08-1-1-36 δύο
08-1-1-37 υἱοὶ
08-1-1-38 αὐτοῦ.
08-1-2-1 Καὶ
08-1-2-2 ὄνομα
08-1-2-3 τῷ
08-1-2-4 ἀνδρὶ
08-1-2-5 Ἀλιμέλεχ,
08-1-2-6 καὶ
08-1-2-7 ὄνομα
08-1-2-8 τῇ
08-1-2-9 γυναικὶ
08-1-2-10 αὐτοῦ
08-1-2-11 Νοεμμείν·
08-1-2-12 καὶ
08-1-2-13 ὄνομα
08-1-2-14 τοῖς
08-1-2-15 δυσὶν
08-1-2-16 υἱοῖς
08-1-2-17 αὐτοῦ
08-1-2-18 Μααλὼν
08-1-2-19 καὶ
08-1-2-20 Χελεὼν,
08-1-2-21 Ἐφραθαῖοι
08-1-2-22 ἐκ
08-1-2-23 Βηθλέεμ
08-1-2-24 τῆς
08-1-2-25 Ἰούδα.
08-1-2-26 Καὶ
08-1-2-27 ἤλθοσαν
08-1-2-28 εἰς
08-1-2-29 ἀγρὸν
08-1-2-30 Μωὰβ
08-1-2-31 καὶ
08-1-2-32 ἦσαν
08-1-2-33 ἐκεῖ.
08-1-3-1 Καὶ
08-1-3-2 ἀπέθανεν
08-1-3-3 Ἀλιμέλεχ
08-1-3-4 ὁ
08-1-3-5 ἀνὴρ
08-1-3-6 τῆς
08-1-3-7 Νοεμμεὶ,
08-1-3-8 καὶ
08-1-3-9 κατελείφθη
08-1-3-10 αὕτη
08-1-3-11 καὶ
08-1-3-12 οἱ
08-1-3-13 δύο
08-1-3-14 υἱοὶ
08-1-3-15 αὐτῆς.
08-1-4-1 Καὶ
08-1-4-2 ἐλάβοσαν
08-1-4-3 ἑαυτοῖς
08-1-4-4 γυναῖκας
08-1-4-5 Μωαβίτιδας·
08-1-4-6 ὄνομα
08-1-4-7 τῇ
08-1-4-8 μιᾷ
08-1-4-9 Ὀρφά·
08-1-4-10 καὶ
08-1-4-11 ὄνομα
08-1-4-12 τῇ
08-1-4-13 δευτέρᾳ
08-1-4-14 Ῥούθ·
08-1-4-15 καὶ
08-1-4-16 κατῴκησαν
08-1-4-17 ἐκεῖ
08-1-4-18 ὡς
08-1-4-19 δέκα
08-1-4-20 ἔτη.
08-1-5-1 Καὶ
08-1-5-2 ἀπέθαναν
08-1-5-3 ἀμφότεροι,
08-1-5-4 Μααλὼν
08-1-5-5 καὶ
08-1-5-6 Χελεών·
08-1-5-7 καὶ
08-1-5-8 κατελείφθη
08-1-5-9 ἡ
08-1-5-10 γυνὴ
08-1-5-11 ἀπὸ
08-1-5-12 τοῦ
08-1-5-13 ἀνδρὸς
08-1-5-14 αὐτῆς
08-1-5-15 καὶ
08-1-5-16 ἀπὸ
08-1-5-17 τῶν
08-1-5-18 δύο
08-1-5-19 υἱῶν
08-1-5-20 αὐτῆς.
08-1-6-1 Καὶ
08-1-6-2 ἀνέστη
08-1-6-3 αὕτη
08-1-6-4 καὶ
08-1-6-5 αἱ
08-1-6-6 δύο
08-1-6-7 νύμφαι
08-1-6-8 αὐτῆς
08-1-6-9 καὶ
08-1-6-10 ἐπέστρεψαν
08-1-6-11 ἐξ
08-1-6-12 ἀγροῦ
08-1-6-13 Μωάβ,
08-1-6-14 ὅτι
08-1-6-15 ἤκουσαν
08-1-6-16 ἐν
08-1-6-17 ἀγρῷ
08-1-6-18 Μωὰβ
08-1-6-19 ὅτι
08-1-6-20 ἐπέσκεπται
08-1-6-21 Κύριος
08-1-6-22 τὸν
08-1-6-23 λαὸν
08-1-6-24 αὐτοῦ,
08-1-6-25 δοῦναι
08-1-6-26 αὐτοῖς
08-1-6-27 ἄρτους.
08-1-7-1 Καὶ
08-1-7-2 ἐξῆλθαν
08-1-7-3 ἐξῆλθεν
08-1-7-4 ἐκ
08-1-7-5 τοῦ
08-1-7-6 τόπου
08-1-7-7 οὗ
08-1-7-8 ἧσαν
08-1-7-9 ἐκεῖ,
08-1-7-10 καὶ
08-1-7-11 αἱ
08-1-7-12 δύο
08-1-7-13 νύμφαι
08-1-7-14 αὐτῆς
08-1-7-15 μετ’
08-1-7-16 αὐτῆς·
08-1-7-17 καὶ
08-1-7-18 ἐπορεύοντο
08-1-7-19 ἐν
08-1-7-20 τῇ
08-1-7-21 ὁδῷ
08-1-7-22 τοῦ
08-1-7-23 ἐπιστρέψαι
08-1-7-24 εἰς
08-1-7-25 γῆν
08-1-7-26 Ἰούδα.
08-1-8-1 Καὶ
08-1-8-2 εἶπεν
08-1-8-3 Νοομμεὶ
08-1-8-4 ταῖς
08-1-8-5 δυσὶ
08-1-8-6 νύμφαις
08-1-8-7 αὐτῆς
08-1-8-8 πορεύθητε
08-1-8-9 δὴ,
08-1-8-10 ἀποστράφητε
08-1-8-11 δὴ
08-1-8-12 ἑκάστη
08-1-8-13 εἰς
08-1-8-14 τὸν
08-1-8-15 οἶκον
08-1-8-16 τοῦ
08-1-8-17 πατρὸς
08-1-8-18 αὐτῆς·
08-1-8-19 ποιήσαι
08-1-8-20 Κύριος
08-1-8-21 μεθ’
08-1-8-22 ὑμῶν
08-1-8-23 ἔλεος,
08-1-8-24 καθὼς
08-1-8-25 ἐποιήσατε
08-1-8-26 μετὰ
08-1-8-27 τῶν
08-1-8-28 τεθνηκότων
08-1-8-29 καὶ
08-1-8-30 μετ’
08-1-8-31 ἐμοῦ·
08-1-9-1 δῷη
08-1-9-2 Κύριος
08-1-9-3 ὑμῖν
08-1-9-4 καὶ
08-1-9-5 εὕρητε
08-1-9-6 ἀνάπαυσιν
08-1-9-7 ἑκάστη
08-1-9-8 ἐν
08-1-9-9 οἴκῳ
08-1-9-10 ἀνδρὸς
08-1-9-11 αὐτῆς.
08-1-9-12 καὶ
08-1-9-13 κατεφίλησεν
08-1-9-14 αὐτάς·
08-1-9-15 καὶ
08-1-9-16 ἐπῆραν
08-1-9-17 τὴν
08-1-9-18 φωνὴν
08-1-9-19 αὐτῶν
08-1-9-20 καὶ
08-1-9-21 ἔκλαυσαν.
08-1-10-1 Καὶ
08-1-10-2 εἶπαν
08-1-10-3 αὐτῇ
08-1-10-4 Μετὰ
08-1-10-5 σοῦ
08-1-10-6 ἐπιστρέψομεν
08-1-10-7 εἰς
08-1-10-8 τὸν
08-1-10-9 λαόν
08-1-10-10 σου.
08-1-11-1 Καὶ
08-1-11-2 εἶπεν
08-1-11-3 Νοομμείν·
08-1-11-4 Ἐπιστράφητε
08-1-11-5 δή,
08-1-11-6 θυγατέρες
08-1-11-7 μου,
08-1-11-8 πορεύθητ,
08-1-11-9 καὶ
08-1-11-10 ἱνατί
08-1-11-11 πορεύεσθε
08-1-11-12 μετ’
08-1-11-13 ἐμοῦ;
08-1-11-14 μὴ
08-1-11-15 ἔτι
08-1-11-16 μοι
08-1-11-17 υἱοὶ
08-1-11-18 ἐν
08-1-11-19 τῇ
08-1-11-20 κοιλίᾳ
08-1-11-21 μου,
08-1-11-22 καὶ
08-1-11-23 ἔσονται
08-1-11-24 ὑμῖν
08-1-11-25 εἰς
08-1-11-26 ἄνδρας;
08-1-12-1 Ἐπιστράφητε
08-1-12-2 δὴ,
08-1-12-3 θυγατέρες
08-1-12-4 μου,
08-1-12-5 διότι
08-1-12-6 γεγήρακα
08-1-12-7 τοῦ
08-1-12-8 μὴ
08-1-12-9 εἶναι
08-1-12-10 ἀνδρί
08-1-12-11 Ὅτι
08-1-12-12 εἶπα,
08-1-12-13 ὅτι
08-1-12-14 ἔστι
08-1-12-15 μοι
08-1-12-16 ὑπόστασις
08-1-12-17 τοῦ
08-1-12-18 γενηθῆναί
08-1-12-19 με
08-1-12-20 ἀνδρὶ
08-1-12-21 καὶ
08-1-12-22 τέξομαι
08-1-12-23 υἱούς·
08-1-13-1 μὴ
08-1-13-2 αὐτοὺς
08-1-13-3 προσδέξεσθε
08-1-13-4 ἕως
08-1-13-5 οὗ
08-1-13-6 ἁδρυνθῶσιν;
08-1-13-7 ἢ
08-1-13-8 αὐτοῖς
08-1-13-9 κατασχεθήσεσθε
08-1-13-10 τοῦ
08-1-13-11 μὴ
08-1-13-12 γενέσθαι
08-1-13-13 ἀνδρί;
08-1-13-14 μὴ
08-1-13-15 δὴ
08-1-13-16 θυγατέρες
08-1-13-17 μου,
08-1-13-18 ὅτι
08-1-13-19 ἐπικράνθη
08-1-13-20 μοι
08-1-13-21 σφόδρα
08-1-13-22 ὑπὲρ
08-1-13-23 ὑμᾶς,
08-1-13-24 ὅτι
08-1-13-25 ἐξῆλθεν
08-1-13-26 ἐν
08-1-13-27 ἐμοὶ
08-1-13-28 χεὶρ
08-1-13-29 Κυρίου.
08-1-14-1 καὶ
08-1-14-2 ἐπῆραν
08-1-14-3 τὴν
08-1-14-4 φωνὴν
08-1-14-5 αὐτῶν,
08-1-14-6 καὶ
08-1-14-7 ἔκλαυσαν
08-1-14-8 ἔτι·
08-1-14-9 καὶ
08-1-14-10 κατεφίλησεν
08-1-14-11 Ὀρφὰ
08-1-14-12 τὴν
08-1-14-13 πενθερὰν
08-1-14-14 αὐτῆς,
08-1-14-15 καὶ
08-1-14-16 ἐπέστρεψεν
08-1-14-17 εἰς
08-1-14-18 τὸν
08-1-14-19 λαὸν
08-1-14-20 αὐτῆς·
08-1-14-21 Ῥοὺθ
08-1-14-22 δὲ
08-1-14-23 ἠκολούθησεν
08-1-14-24 αὐτῇ.
08-1-15-1 Καὶ
08-1-15-2 εἶπεν
08-1-15-3 Νοομμεὶν
08-1-15-4 πρὸς
08-1-15-5 Ῥούθ·
08-1-15-6 ἰδοὺ
08-1-15-7 ἀνέστρεψεν
08-1-15-8 ἡ
08-1-15-9 σύννυμφός
08-1-15-10 σου
08-1-15-11 πρὸς
08-1-15-12 λαὸν
08-1-15-13 αὐτῆς
08-1-15-14 καὶ
08-1-15-15 πρὸς
08-1-15-16 τοὺς
08-1-15-17 θεοὺς
08-1-15-18 αὐτῆς·
08-1-15-19 ἐπιστράφητι
08-1-15-20 δὴ
08-1-15-21 καὶ
08-1-15-22 σὺ
08-1-15-23 ὀπίσω
08-1-15-24 τῆς
08-1-15-25 συννύμφου
08-1-15-26 σου.
08-1-16-1 Εἶπεν
08-1-16-2 δὲ
08-1-16-3 Ῥούθ·
08-1-16-4 μὴ
08-1-16-5 ἀπαντήσαι
08-1-16-6 ἐμοὶ
08-1-16-7 τοῦ
08-1-16-8 καταλιπεῖν
08-1-16-9 σε,
08-1-16-10 ἢ
08-1-16-11 ἀποστρέψαι
08-1-16-12 ὄπισθέν
08-1-16-13 σου,
08-1-16-14 ὅτι
08-1-16-15 ὅπου
08-1-16-16 ἐὰν
08-1-16-17 πορευθῇς,
08-1-16-18 πορεύσομαι,
08-1-16-19 καὶ
08-1-16-20 οὗ
08-1-16-21 ἐὰν
08-1-16-22 αὐλισθῇς
08-1-16-23 αὐλισθήσομαι·
08-1-16-24 ὁ
08-1-16-25 λαός
08-1-16-26 σου,
08-1-16-27 λαός
08-1-16-28 μου,
08-1-16-29 καὶ
08-1-16-30 ὁ
08-1-16-31 θεός
08-1-16-32 σου,
08-1-16-33 θεός
08-1-16-34 μου·
08-1-17-1 Καὶ
08-1-17-2 οὗ
08-1-17-3 ἐὰν
08-1-17-4 ἀποθάνῃς,
08-1-17-5 ἀποθανοῦμαι,
08-1-17-6 κᾀκεῖ
08-1-17-7 ταφήσομαι·
08-1-17-8 τάδε
08-1-17-9 ποιήσαι
08-1-17-10 Κύριός
