32-0-0-0 ΙΩΝΑΣ
32-0-0-1 ς´
32-1-1-1 ΚΑΙ καί
32-1-1-2 ἐγένετο
32-1-1-3 λόγος
32-1-1-4 Κυρίου
32-1-1-5 πρὸς
32-1-1-6 Ἰωνᾶν
32-1-1-7 τὸν
32-1-1-8 τοῦ
32-1-1-9 Ἀμαθι,
32-1-1-10 λέγων·
32-1-2-1 Ἀνάστηθι,
32-1-2-2 καὶ
32-1-2-3 πορεύου
32-1-2-4 εἰς
32-1-2-5 τὴν
32-1-2-6 Νινευὴ
32-1-2-7 τὴν
32-1-2-8 πόλιν
32-1-2-9 τὴν
32-1-2-10 μεγάλην,
32-1-2-11 καὶ
32-1-2-12 κήρυξον
32-1-2-13 ἐν
32-1-2-14 αὐτῇ,
32-1-2-15 ὅτι
32-1-2-16 ἀνέβη
32-1-2-17 ἡ
32-1-2-18 κραυγὴ
32-1-2-19 τῆς
32-1-2-20 κακίας
32-1-2-21 αὐτῆς
32-1-2-22 πρὸς
32-1-2-23 μέ.
32-1-3-1 Καὶ
32-1-3-2 ἀνέστη
32-1-3-3 Ἰωνᾶς
32-1-3-4 τοῦ
32-1-3-5 φυγεῖν
32-1-3-6 εἰς
32-1-3-7 Θαρσεὶς
32-1-3-8 ἀπὸ
32-1-3-9 προσώπου
32-1-3-10 Κυρίου,
32-1-3-11 καὶ
32-1-3-12 κατέβη
32-1-3-13 εἰς
32-1-3-14 Ἰόππην·
32-1-3-15 καὶ
32-1-3-16 εὗρεν
32-1-3-17 πλοῖον
32-1-3-18 βάδίζον
32-1-3-19 εἰς
32-1-3-20 Θαρσείς,
32-1-3-21 καὶ
32-1-3-22 ἔδωκεν
32-1-3-23 τὸ
32-1-3-24 ναῦλον
32-1-3-25 αὐτοῦ,
32-1-3-26 καὶ
32-1-3-27 ἐνέβη
32-1-3-28 εἰς
32-1-3-29 αὐτὸ
32-1-3-30 τοῦ
32-1-3-31 πλεῦσαι
32-1-3-32 εἰς
32-1-3-33 Θαρσεὶς
32-1-3-34 μετ’
32-1-3-35 αὐτῶν
32-1-3-36 ἐκ
32-1-3-37 προσώπου
32-1-3-38 Κυρίου.
32-1-4-1 Καὶ
32-1-4-2 Κύριος
32-1-4-3 ἐξήγειρεν
32-1-4-4 πνεῦμα
32-1-4-5 εἰς
32-1-4-6 τὴν
32-1-4-7 θάλασσαν,
32-1-4-8 καὶ
32-1-4-9 ἐγένετο
32-1-4-10 κλύδων
32-1-4-11 μέγας
32-1-4-12 ἐν
32-1-4-13 τῇ
32-1-4-14 θαλάσσῃ,
32-1-4-15 καὶ
32-1-4-16 τὸ
32-1-4-17 πλοῖον
32-1-4-18 ἐκινδύνευεν
32-1-4-19 τοῦ
32-1-4-20 διαλυθῆναι.
32-1-5-1 Καὶ
32-1-5-2 ἐφοβήθησαν
32-1-5-3 οἱ
32-1-5-4 ναυτικοὶ,
32-1-5-5 καὶ
32-1-5-6 ἐβόων
32-1-5-7 ἕκαστος
32-1-5-8 πρὸς
32-1-5-9 τὸν
32-1-5-10 θεὸν
32-1-5-11 αὐτῶν,
32-1-5-12 καὶ
32-1-5-13 ἐκβολὴν
32-1-5-14 ἐποιήσαντο
32-1-5-15 τῶν
32-1-5-16 σκευῶν
32-1-5-17 τῶν
32-1-5-18 ἐν
32-1-5-19 τῷ
32-1-5-20 πλοίῳ
32-1-5-21 εἰς
32-1-5-22 τὴν
32-1-5-23 θάλασσαν,
32-1-5-24 τοῦ
32-1-5-25 κουφισθῆναι
32-1-5-26 ἀπ’
32-1-5-27 αὐτῶν.
32-1-5-28 Ἰωνᾶς
32-1-5-29 δὲ
32-1-5-30 κατέβη
32-1-5-31 εἰς
32-1-5-32 τὴν
32-1-5-33 κοίλην
32-1-5-34 τοῦ
32-1-5-35 πλοίου,
32-1-5-36 καὶ
32-1-5-37 ἐκάθευδεν,
32-1-5-38 καὶ
32-1-5-39 ἔρεγχεν.
32-1-6-1 Kαὶ
32-1-6-2 προσῆλθεν
32-1-6-3 πρὸς
32-1-6-4 αὐτὸν
32-1-6-5 ὁ
32-1-6-6 πρωρεὺς,
32-1-6-7 καὶ
32-1-6-8 εἶπεν
32-1-6-9 πρὸς
32-1-6-10 αὐτὸν·
32-1-6-11 τί
32-1-6-12 σὺ
32-1-6-13 ῥέγχεις;
32-1-6-14 ἀνάστα,
32-1-6-15 καὶ
32-1-6-16 ἐπικαλοῦ
32-1-6-17 τὸν
32-1-6-18 θεόν
32-1-6-19 σου,
32-1-6-20 εἶπως
32-1-6-21 διασώσῃ
32-1-6-22 ὁ
32-1-6-23 θεὸς
32-1-6-24 ἡμᾶς,
32-1-6-25 καὶ
32-1-6-26 οὐ
32-1-6-27 μὴ
32-1-6-28 ἀπολώμεθα.
32-1-7-1 Καὶ
32-1-7-2 εἶπεν
32-1-7-3 ἕκαστος
32-1-7-4 πρὸς
32-1-7-5 τὸν
32-1-7-6 πλησίον
32-1-7-7 αὐτοῦ·
32-1-7-8 δεῦτε
32-1-7-9 βάλωμεν
32-1-7-10 κλήρους,
32-1-7-11 καὶ
32-1-7-12 ἐπιγνῶμεν,
32-1-7-13 τίνος
32-1-7-14 ἕνεκεν
32-1-7-15 ἡ
32-1-7-16 κακία
32-1-7-17 αὕτη
32-1-7-18 ἐστὶν
32-1-7-19 ἐν
32-1-7-20 ἡμῖν.
32-1-7-21 Καὶ
32-1-7-22 ἔβαλον
32-1-7-23 κλήρους,
32-1-7-24 καὶ
32-1-7-25 ἔπεσεν
32-1-7-26 ὁ
32-1-7-27 κλῆρος
32-1-7-28 ἐπὶ
32-1-7-29 Ἰωνᾶν.
32-1-8-1 Καὶ
32-1-8-2 εἶπαν
32-1-8-3 πρὸς
32-1-8-4 αὐτόν·
32-1-8-5 ἀπάγγειλον
32-1-8-6 δὴ
32-1-8-7 ἡμῖν,
32-1-8-8 τίνος
32-1-8-9 ἔνεκεν
32-1-8-10 ἡ
32-1-8-11 κακὶα
32-1-8-12 αὕτη
32-1-8-13 ἐστὶν
32-1-8-14 ἐν
32-1-8-15 ἡμῖν·
32-1-8-16 τίς
32-1-8-17 σου
32-1-8-18 ἡ
32-1-8-19 ἐργασία
32-1-8-20 ἐστὶν,
32-1-8-21 καὶ
32-1-8-22 πόθεν
32-1-8-23 ἔρχῃ,
32-1-8-24 καὶ
32-1-8-25 ἐκ
32-1-8-26 ποίας
32-1-8-27 χώρας,
32-1-8-28 καὶ
32-1-8-29 ἐκ
32-1-8-30 ποίου
32-1-8-31 λαοῦ
32-1-8-32 εἶ
32-1-8-33 σύ;
32-1-9-1 Καὶ
32-1-9-2 εἶπεν
32-1-9-3 πρὸς
32-1-9-4 αὐτούς·
32-1-9-5 δοῦλος
32-1-9-6 Κυρίου
32-1-9-7 ἐγώ
32-1-9-8 εἰμι,
32-1-9-9 καὶ
32-1-9-10 τὸν
32-1-9-11 Κύριον
32-1-9-12 θεὸν
32-1-9-13 τοῦ
32-1-9-14 οὐρανοῦ
32-1-9-15 ἐγὼ
32-1-9-16 σέβομαι,
32-1-9-17 ὃς
32-1-9-18 ἐποίησεν
32-1-9-19 τὴν
32-1-9-20 θάλασσαν
32-1-9-21 καὶ
32-1-9-22 τὴν
32-1-9-23 ξηράν.
32-1-10-1 Καὶ
32-1-10-2 ἐφοβήθησαν
32-1-10-3 οἱ
32-1-10-4 ἄνδρες
32-1-10-5 φόβον
32-1-10-6 μέγαν,
32-1-10-7 καὶ
32-1-10-8 εἶπαν
32-1-10-9 πρὸς
32-1-10-10 αὐτόν·
32-1-10-11 τί
